firstname,lastname,race,age,personality,build,detail,stats
Benjamin,Ayresleigh,Dragonborn,teen,"Absent-minded – Preoccupied to the extent of being unaware of one’s immediate surroundings. Abstracted, daydreaming, inattentive, oblivious, forgetful.",Fat,widely spaced eyes,16829-commoner
Bayham,Badger,Dwarf (Hill),young adult,Abusive – Characterized by improper infliction of physical or psychological maltreatment towards another.,Slim,"gawping, slack mouth",16798-bandit
Solomon,Bagnet,Dwarf (Mountain),adult,"Addict – One who is addicted to a compulsive activity. Examples: gambling, drugs, sex.",Tall,drooping jowls,16985-priest
Ezekiel,Bambler,Dwarf (Duergar),middle age,Aimless – Devoid of direction or purpose.,Muscled,uneven nose,17100-aarakocra
Ian,Pross,Elf (Forest),boomer,Alcoholic – A person who drinks alcoholic substances habitually and to excess.,Curvy,"wild, tangled hair",273173-halfling-musician
Barak,Bazzard,Elf (High),old,Anxious – Full of mental distress or uneasiness because of fear of danger or misfortune; greatly worried; solicitous.,Athlethic,profuse sweating,487578-magewright
Cain,Plummer,Elf (Drow),ancient,Arrogant – Having or displaying a sense of overbearing self-worth or self-importance. Inclined to social exclusiveness and who rebuff the advances of people considered inferior. Snobbish.,Body builder,off-putting stare,16798-bandit
Dariel,Bevian,Elf (Sea),,"Audacious – Recklessly bold in defiance of convention, propriety, law, or the like; insolent; braze, disobedient.",Beautiful,"charming, smiling eyes",16835-cultist
Enoch,Brunlow,Elf (Shadar-Kai),,"Bad Habit – A revolting personal habit. Examples: picks nose, spits tobacco, drools, bad body odour.",Handsome,sloped forehead,16915-guard
Gaius,Carker,Gnome (Forest),,Bigmouth – A loud-mouthed or gossipy person.,Ugly,missing limb,16955-merfolk
Garvel,Barnacle,Gnome (Rock),,"Bigot – One who is strongly partial to one’s own group, religion, race, or politics and is intolerant of those who differ.",Old,beautiful,16966-noble
Jericus,Cromwell,Gnome (Deep),,"Blunt – Characterized by directness in manner or speech; without subtlety or evasion. Frank, callous, insensitive, brusque.",Young,pointed and widely spaced teeth,17038-tribal-warrior
Mordeci,Wolfe,Half-Elf,,"Bold – In a bad sense, too forward; taking undue liberties; over assuming or confident; lacking proper modesty or restraint; rude; impudent. Abrupt, brazen, cheeky, brassy, audacious.",Middle aged,closely spaced eyes,584769-tiefling-muralist
Pontiu,Wollsey,Half-Orc,,"Callous – They are hardened to emotions, rarely showing any form of it in expression. Unfeeling. Cold.",Thic,duelling scar,17325-apprentice-wizard
Reestheus,Noggs,Halfling (Lightfoot),,Childish – Marked by or indicating a lack of maturity; puerile.,Short,"rheumy, raw eyes",17133-drow
Thaddius,Carton,Halfling (Stout),,Complex – An exaggerated or obsessive concern or fear. (List specific complex.),Wiry,fierce eyebrows,17277-kobold-inventor
Titus,Brandybone,Human,,"Cruel – Mean to anyone or anything, without care or regard to consequences and feelings.",Long arms,"high, finely wrough cheekbones",17367-mongrelfolk
Varnais,Claypole,Tiefling,,"Cursed – A person who has befallen a prayer for evil or misfortune, placed under a spell, or borne into an evil circumstance, and suffers for it. Damned.",⁠Petite,deeply scarred,2560942-tortle
Callidon,Murdstone,Aarakocra,,"Dependent – Unable to exist, sustain oneself, or act appropriately or normally without the assistance or direction of another.",Stoic,"dirty or dusty, as if unearthed",17362-barovian-witch
Castus,Creakle,Bugbear,,Deranged – Mentally decayed. Insane. Crazy. Mad. Psychotic.,Delicate,drunk or seeking drink,175374-hybrid-spy
Gallus,Manette,Filborg,,"Dishonest – Given to or using fraud, cheating; deceitful, deceptive, crooked, underhanded.",Frail,shakes and tremors,1528979-sage
Kaltos,Dartle,Goblin,,"Disloyal – Lacking loyalty. Unfaithful, perfidious, traitorous, treasonable",Androgynous,remarkably small head,17007-scout
Ravion,Diver,Grung,,Disorder – An ailment that affects the function of mind or body. (List the disorders name if they have one.) See the Mental Disorder List.,Artificial (android / cyborg / magical construct),"splayed, wide-nostrilled nose",175769-soldier
Trantor,Gammerage,Hobgoblin,,"Disturbed – Showing some or a few signs or symptoms of mental or emotional illness. Confused, disordered, neurotic, troubled.",Bell Shaped,sunken head and short limbs,17035-thug
Venris,Roller,Kenku,,"Dubious – Fraught with uncertainty or doubt. Undecided, doubtful, unsure.",Child like,nervous tic,297745-wood-elf-scout
Victus,Gargey,Kobold,,"Dyslexic – Affected by dyslexia, a learning disorder marked by impairment of the ability to recognize and comprehend written words.",Stubby,"pinched, pointed chin",3081106-dragon-army-soldier
Barbosa,Harris,LizardFolk,,"Egotistical – Characteristic of those having an inflated idea of their own importance. Boastful, pompous.",Emaciated,"well-worn, yellowed teeth",22021-evil-mage
Constantius,Neckett,Orc,,"Envious – Showing extreme cupidity; painfully desirous of another’s advantages; covetous, jealous.",Giant,unusually tall and slender,368969-expert
Havelock,Langley,Tabaxi,,"Erratic – Deviating from the customary course in conduct or opinion; eccentric: erratic behaviour. Eccentric, bizarre, outlandish, strange.",Hourglass Shaped,"deep-sunk, lidded eyes",2407561-scholarly-agent
Iaction,Noggs,Triton,,"Fanatical – Fanatic outlook or behaviour especially as exhibited by excessive enthusiasm, unreasoning zeal, or wild and extravagant notions on some subject.",Lean,uneven limbs,17021-spy
Lionel,Radfoot,Yuan-Ti Pureblood,,"Fickle – Erratic, changeable, unstable – especially with regard to affections or attachments; capricious.",Noticeably Asymmetrical,slouching,370724-spellcaster-healer
Serghar,Thribbs,Githyanki,,Fierce – Marked by extreme intensity of emotions or convictions; inclined to react violently; fervid.,Pear Shaped,greasy,370794-spellcaster-mage
Tybalt,Bimbler,GithZerai,,"Finicky – Excessively particular or fastidious; difficult to please; fussy. Too much concerned with detail. Meticulous, fastidious, choosy, critical, picky, prissy, pernickety.",Rotund,consumptive and deathly ill,368996-warrior
Vern,Maylile,Changeling,,"Fixated – In psychoanalytic theory, a strong attachment to a person or thing, especially such an attachment formed in childhood or infancy and manifested in immature or neurotic behaviour that persists throughout life. Fetish, quirk, obsession, infatuation.",Skinny,prominent mole or boil,16799-bandit-captain
Orlick,Stiltstalker,Eladrin,,Flirt -To make playfully romantic or sexual overtures; behaviour intended to arouse sexual interest. Minx. Tease.,Toned,woefully mismatched features,2560735-bard
Uriah,Havisham,Gensai,,"Gluttonous – Given to excess in consumption of especially food or drink. Voracious, ravenous, wolfish, piggish, insatiable.",Hunched backed,"sad, pouting mouth",911336-armed-commoner
Mortimer,Nubbles,Goliath,,"Gruff – Brusque or stern in manner or appearance. Crusty, rough, surly.",Shrunken Head,porcelain skin,3026053-barkeep
Jarvis,Prattler,Minotaur,,"Gullible – Will believe any information given, regardless of how valid or truthful it is, easily deceived or duped.","Shrunken body, normal sized head.",no chin to speak of,1761155-barovian-commoner
Peter,Jaggers,Shifter (Longtooth),,"Hard – A person who is difficult to deal with, manage, control, overcome, or understand. Hard emotions, hard hearted.",Bulbous,unusually large head,1082553-bartender
Dolge,Squeaks,Shifter (Razorclaw),,"Hedonistic – Pursuit of or devotion to pleasure, especially to the pleasures of the senses.",Regular build,pleasant smile,1907700-beast-wrangler
Augustus,Kastobar,Warforge,,"Hoity-toity- Given to flights of fancy; capricious; frivolous. Prone to giddy behaviour, flighty.",Malformed,broke-fingered hands,1628405-beggar
Silas,Blambercarriage,Centaur,,"Humourless – The inability to find humour in things, and most certainly in themselves.",Artificial limb,"short, badly cropped hair",181894-blacksmith
Horatio,Rackbourne,Loxodon,,"Hypocritical – One who is always contradicting their own beliefs, actions or sayings. A person who professes beliefs and opinions for others that he does not hold. Being a hypocrite.",Bell Shaped,lantern jaw,1845868-chef
Albian,Hopcraft,Simic Hybrid,,"Idealist – One whose conduct is influenced by ideals that often conflict with practical considerations. One who is unrealistic and impractical, guided more by ideals than by practical considerations.",Child like,domed head,162687-charming-npc
Quintus,Figg,Veldaken,,Idiotic – Marked by a lack of intelligence or care; foolish or careless.,,waddling,1624339-citizen
Sextus,Krenridge,Viashino,,Ignorant – Lacking knowledge or information as to a particular subject or fact. Showing or arising from a lack of education or knowledge.,,"fluttering, always-moving hands",1888261-city-guard
Septimus,Dombey,Tortle,,Illiterate – Unable to read and write.,,dark circles under the eyes,689253-common-merchant
Octavius,Tackleton,,,Immature – Emotionally undeveloped; juvenile; childish.,,"small, tightly pursed mouth",203943-courtier
